门店,年份,月份,总营收,确认收入,总客流,老客,A类数量,A类转化数,A类转化分母,A类转化率,A类美团点评,A类路过,A类老带新,A类其他,B类数量,B类转化数,B类转化分母,B类转化率,C类数量,C类转化数,C类转化分母,C类转化率,D类数量,D类转化数,D类转化分母,D类转化率,总有效服务时长,人均服务时长,打鱼邀约,主动上门
平安,2024,6,180393,229957.52,287,182,105,7,93,7.53,47,46,12,0,24,5,24,20.83,47,12,42,28.57,111,2,102,1.96,398.92,1.39,0,182
平安,2024,7,188907,231999.16,270,180,90,6,77,7.79,44,32,13,1,27,7,27,25.93,40,9,37,24.32,113,1,108,0.93,389.01,1.44,5,175
平安,2024,8,314067,246841,269,197,72,8,54,14.81,28,22,18,4,20,8,21,38.1,48,21,46,45.65,129,5,122,4.1,418.75,1.56,61,136
平安,2024,9,254711.3,224437.85,241,159,82,6,66,9.09,28,38,16,0,15,4,16,25,38,16,38,42.11,106,8,101,7.92,367.08,1.52,60,99
平安,2024,10,199351,207426.5,228,156,72,9,56,16.07,35,21,16,0,12,4,12,33.33,36,14,36,38.89,108,0,99,0,341.5,1.5,56,100
平安,2024,11,353030,173567.8,199,152,47,4,33,12.12,11,18,14,4,10,4,11,36.36,31,12,37,32.43,111,32,112,28.57,282.75,1.42,39,113
平安,2024,12,195628,247758.73,252,183,69,5,49,10.2,22,25,21,1,7,4,8,50,25,12,22,54.55,151,7,133,5.26,376.5,1.49,73,110
平安,2025,1,249801,257916.6,249,172,77,5,64,7.81,38,26,13,0,9,6,10,60,35,8,30,26.67,128,3,119,2.52,363,1.46,60,112
平安,2025,2,145564,166363.35,197,145,52,1,41,2.44,13,27,11,0,6,2,7,28.57,36,13,36,36.11,103,4,94,4.26,281,1.43,45,100
平安,2025,3,163185.8,208588.8,259,192,67,2,50,4,15,33,18,1,22,7,23,30.43,28,7,28,25,142,3,132,2.27,354,1.37,87,105
平安,2025,4,110344,187065.5,225,165,60,1,45,2.22,27,17,16,0,11,1,11,9.09,33,5,32,15.62,121,2,107,1.87,317.08,1.41,87,78
平安,2025,5,224328.5,176459.86,218,137,81,7,66,10.61,29,37,15,0,11,5,12,41.67,29,15,31,48.39,97,10,90,11.11,304.5,1.4,51,86
